Metric,Pearson,Spearman
LOC,0.2194,0.2344
NumLocalVars,0.1986,0.2265
NumStatements,0.2008,0.2209
NestingDepth,0.2067,0.2106
Cyclomatic,0.1734,0.2040
CognitiveComplexity,0.1952,0.2019
Global_NAuth,0.2390,0.1935
Global_NR,0.1900,0.1881
Global_LOC_Added,0.0227,0.1810
Global_MAX_LOC_Added,0.0146,0.1743
Global_AVG_LOC_Added,0.0034,0.1711
Global_Churn,0.0275,0.1694
Global_LOC_Deleted,0.0343,0.1636
Global_MAX_Churn,0.0193,0.1610
Global_MAX_LOC_Deleted,0.0251,0.1551
Global_AVG_Churn,0.0091,0.1539
Global_AVG_LOC_Deleted,0.0211,0.1456
AVG_LOC_Added,0.0135,0.1346
LOC_Added,0.0081,0.1346
MAX_LOC_Added,0.0142,0.1346
NAuth,0.1386,0.1328
NR,0.0978,0.1324
Churn,0.0123,0.1322
MAX_Churn,0.0160,0.1320
AVG_Churn,0.0178,0.1319
LOC_Deleted,0.0183,0.1155
MAX_LOC_Deleted,0.0170,0.1152
AVG_LOC_Deleted,0.0219,0.1150
NumParams,0.0433,0.0406
CodeSmells,0.0567,0.0393
ReturnTypeComplexity,0.0362,0.0365
